date,forecast_revenue,lower_bound,upper_bound
2024-03-12,285.19,173.28,397.11
2024-03-13,273.38,161.46,385.29
2024-03-14,273.7,161.79,385.62
2024-03-15,285.05,173.13,396.96
2024-03-16,85.97,0.0,197.89
2024-03-17,89.59,0.0,201.5
2024-03-18,283.56,171.64,395.48
2024-03-19,285.02,173.11,396.94
2024-03-20,273.21,161.29,385.12
2024-03-21,273.53,161.62,385.45
2024-03-22,284.88,172.96,396.8
2024-03-23,85.8,0.0,197.72
2024-03-24,89.42,0.0,201.34
2024-03-25,283.39,171.48,395.31
2024-03-26,284.86,172.94,396.77
2024-03-27,273.04,161.12,384.95
2024-03-28,273.37,161.45,385.28
2024-03-29,284.71,172.79,396.63
2024-03-30,85.63,0.0,197.55
2024-03-31,89.25,0.0,201.17
2024-04-01,283.22,171.31,395.14
2024-04-02,284.69,172.77,396.6
2024-04-03,272.87,160.95,384.79
2024-04-04,273.2,161.28,385.11
2024-04-05,284.54,172.63,396.46
2024-04-06,85.46,0.0,197.38
2024-04-07,89.08,0.0,201.0
2024-04-08,283.05,171.14,394.97
2024-04-09,284.52,172.6,396.43
2024-04-10,272.7,160.78,384.62
2024-04-11,273.03,161.11,384.94
2024-04-12,284.37,172.46,396.29
2024-04-13,85.3,0.0,197.21
2024-04-14,88.91,0.0,200.83
2024-04-15,282.89,170.97,394.8
2024-04-16,284.35,172.43,396.27
2024-04-17,272.53,160.61,384.45
2024-04-18,272.86,160.94,384.78
2024-04-19,284.2,172.29,396.12
2024-04-20,85.13,0.0,197.04
2024-04-21,88.74,0.0,200.66
2024-04-22,282.72,170.8,394.63
2024-04-23,284.18,172.26,396.1
2024-04-24,272.36,160.45,384.28
2024-04-25,272.69,160.77,384.61
2024-04-26,284.04,172.12,395.95
2024-04-27,84.96,0.0,196.87
2024-04-28,88.57,0.0,200.49
2024-04-29,282.55,170.63,394.46
2024-04-30,284.01,172.1,395.93
2024-05-01,272.19,160.28,384.11
2024-05-02,272.52,160.61,384.44
2024-05-03,283.87,171.95,395.78
2024-05-04,84.79,0.0,196.71
2024-05-05,88.41,0.0,200.32
2024-05-06,282.38,170.46,394.3
2024-05-07,283.84,171.93,395.76
2024-05-08,272.02,160.11,383.94
2024-05-09,272.35,160.44,384.27
2024-05-10,283.7,171.78,395.61
2024-05-11,84.62,0.0,196.54
2024-05-12,88.24,0.0,200.15
2024-05-13,282.21,170.29,394.13
2024-05-14,283.67,171.76,395.59
2024-05-15,271.86,159.94,383.77
2024-05-16,272.18,160.27,384.1
2024-05-17,283.53,171.61,395.45
2024-05-18,84.45,0.0,196.37
2024-05-19,88.07,0.0,199.98
2024-05-20,282.04,170.12,393.96
2024-05-21,283.5,171.59,395.42
2024-05-22,271.69,159.77,383.6
2024-05-23,272.01,160.1,383.93
2024-05-24,283.36,171.44,395.28
2024-05-25,84.28,0.0,196.2
2024-05-26,87.9,0.0,199.82
2024-05-27,281.87,169.96,393.79
2024-05-28,283.34,171.42,395.25
2024-05-29,271.52,159.6,383.43
2024-05-30,271.85,159.93,383.76
2024-05-31,283.19,171.28,395.11
2024-06-01,84.11,0.0,196.03
2024-06-02,87.73,0.0,199.65
2024-06-03,281.7,169.79,393.62
2024-06-04,283.17,171.25,395.08
2024-06-05,271.35,159.43,383.27
2024-06-06,271.68,159.76,383.59
2024-06-07,283.02,171.11,394.94
2024-06-08,83.95,0.0,195.86
2024-06-09,87.56,0.0,199.48
2024-06-10,281.53,169.62,393.45
2024-06-11,283.0,171.08,394.91
2024-06-12,271.18,159.26,383.1
2024-06-13,271.51,159.59,383.42
2024-06-14,282.85,170.94,394.77
2024-06-15,83.78,0.0,195.69
2024-06-16,87.39,0.0,199.31
2024-06-17,281.37,169.45,393.28
2024-06-18,282.83,170.91,394.75
2024-06-19,271.01,159.1,382.93
2024-06-20,271.34,159.42,383.26
2024-06-21,282.68,170.77,394.6
2024-06-22,83.61,0.0,195.52
2024-06-23,87.22,0.0,199.14
2024-06-24,281.2,169.28,393.11
2024-06-25,282.66,170.74,394.58
2024-06-26,270.84,158.93,382.76
2024-06-27,271.17,159.25,383.09
2024-06-28,282.52,170.6,394.43
2024-06-29,83.44,0.0,195.35
2024-06-30,87.06,0.0,198.97
